Time,Amplitude,HeartBeats,HeartRate
0.32,3.0343528,0.0,79.7912927269257
0.321,1.7882015,0.0,79.83790618698872
0.322,1.5489501,0.0,79.8845023080857
0.323,0.32453376,0.0,79.93108104927528
0.324,-0.87737226,0.0,79.97764236966677
0.325,-2.0493417,0.0,80.0241862284204
0.326,-2.1843004,0.0,80.07071258474734
0.327,-3.2755215,0.0,80.11722139790982
0.328,-4.3167157,0.0,80.16371262722119
0.329,-5.301976,0.0,80.21018623204618
0.33,-5.2259293,0.0,80.25664217180083
0.331,-6.0836253,0.0,80.30308040595266
0.332,-7.8707395,0.0,80.34950089402079
0.333,-9.583359,0.0,80.39590359557609
0.334,-9.218247,0.0,80.44228847024114
0.335,-7.7726607,0.0,80.48865547769049
0.336,-8.244437,0.0,80.53500457765068
0.337,-7.6319585,0.0,80.58133572990037
0.338,-7.9342494,0.0,80.62764889427044
0.339,-9.150835,0.0,80.67394403064404
0.34,-9.281835,0.0,80.72022109895681
0.341,-9.327853,0.0,80.7664800591969
0.342,-9.290085,0.0,80.81272087140505
0.343,-10.170165,0.0,80.85894349567478
0.344,-10.970241,0.0,80.90514789215241
0.345,-10.692941,0.0,80.95133402103723
0.346,-10.341258,0.0,80.9975018425815
0.347,-8.918632,0.0,81.04365131709065
0.348,-6.428838,0.0,81.08978240492345
0.349,-4.875954,0.0,81.1358950664918
0.35,-3.2644315,0.0,81.18198926226125
0.351,-2.5988824,0.0,81.22806495275073
0.352,-1.884184,0.0,81.27412209853291
0.353,-2.1254048,0.0,81.32016066023418
0.354,-2.327735,0.0,81.36618059853473
0.355,-2.4964554,0.0,81.41218187416872
0.356,-1.636878,0.0,81.45816444792437
0.357,0.2455537,0.0,81.50412828064401
0.358,1.1454892,0.0,81.55007333322418
0.359,2.0576072,0.0,81.59599956661579
0.36,1.9767097,0.0,81.64190694182417
0.361,3.897581,0.0,81.6877954199092
0.362,4.815331,0.0,81.73366496198531
0.363,5.7250795,0.0,81.7795155292218
0.364,5.6222568,0.0,81.82534708284264
0.365,5.502519,0.0,81.87115958412677
0.366,5.3616424,0.0,81.91695299440823
0.367,6.195811,0.0,81.962727275076
0.368,6.001491,0.0,82.00848238757445
0.369,5.775321,0.0,82.05421829340308
0.37,5.5144234,0.0,82.09993495411692
0.371,6.2160845,0.0,82.14563233132641
0.372,5.878082,0.0,82.19131038669762
0.373,4.498401,0.0,82.23696908195232
0.374,4.0754337,0.0,82.28260837886798
0.375,2.6078713,0.0,82.328228239278
0.376,2.0947669,0.0,82.37382862507172
