Time,Amplitude,HeartBeats,HeartRate
0.002,-11.688778,0.0,64.37872239467598
0.003,-11.6422415,0.0,64.42854810278632
0.004,-11.509026,0.0,64.47837134335947
0.005,-11.307267,0.0,64.52819206581792
0.006,-11.063698,0.0,64.5780102195917
0.007,-10.809113,0.0,64.62782575411862
0.008,-10.573107,0.0,64.67763861884423
0.009,-10.379164,0.0,64.72744876322224
0.01,-10.240736,0.0,64.77725613671444
0.011,-10.159166,0.0,64.82706068879102
0.012,-10.123628,0.0,64.87686236893065
0.013,-10.113191,0.0,64.92675055311847
0.014,-10.100491,0.0,64.97654678601708
0.015,-10.056476,0.0,65.02633999762281
0.016,-9.955312,0.0,65.07613013745959
0.017,-9.778775,0.0,65.12591715506079
0.018,-9.519287,0.0,65.17570099996918
0.019,-9.181206,0.0,65.22548162173713
0.02,-8.780328,0.0,65.27525896992677
0.021,-8.341475,0.0,65.32503299411015
0.022,-7.894893,0.0,65.37480364386938
0.023,-7.471756,0.0,65.42457086879679
0.024,-7.099732,0.0,65.47433461849506
0.025,-6.7990494,0.0,65.52409484257745
0.026,-6.579842,0.0,65.57385149066785
0.027,-6.441005,0.0,65.62360451240096
0.028,-6.3708158,0.0,65.67335385742251
0.029,-6.349219,0.0,65.72309947538942
0.03,-6.3513885,0.0,65.77284131596976
0.031,-6.352149,0.0,65.82257932884316
0.032,-6.330468,0.0,65.8723134637008
0.033,-6.273332,0.0,65.9220436702456
0.034,-6.1783285,0.0,65.97176989819243
0.035,-6.054396,0.0,66.0214920972682
0.036,-5.92048,0.0,66.07121021721196
0.037,-5.802132,0.0,66.1209242077752
0.038,-5.726599,0.0,66.17063401872196
0.039,-5.7170672,0.0,66.22033959982879
0.04,-5.7870646,0.0,66.27004090088522
0.041,-5.936154,0.0,66.31973787169366
0.042,-6.147717,0.0,66.36943046206967
0.043,-6.3894835,0.0,66.41911862184212
0.044,-6.616891,0.0,66.46880230085323
0.045,-6.7787833,0.0,66.51848144895887
0.046,-6.824584,0.0,66.5681560160286
0.047,-6.7115865,0.0,66.6178259519459
0.048,-6.4110537,0.0,66.66749120660825
0.049,-5.9119716,0.0,66.71715172992735
0.05,-5.2216253,0.0,66.76680747182924
0.051,-4.362911,0.0,66.8164583822544
0.052,-3.3691483,0.0,66.86610441115806
0.053,-2.2770996,0.0,66.91574550851008
0.054,-1.120026,0.0,66.96538162429546
0.055,0.07784231,0.0,67.01501270851413
0.056,1.3043431,0.0,67.06463871118142
0.057,2.5592031,0.0,67.11425958232792
0.058,3.85074,0.0,67.16387527199986
0.059,5.190307,0.0,67.21348573025917
0.06,6.585663,0.0,67.26309090718357
0.061,8.034922,0.0,67.31269075286683
0.062,9.522413,0.0,67.36228521741896
0.063,11.01741,0.0,67.41187425096612
0.064,12.476278,0.0,67.46145780365103
0.065,13.847284,0.0,67.51103582563299
0.066,15.077535,0.0,67.56060826708806
0.067,16.120327,0.0,67.61017507820921
0.068,16.941637,0.0,67.65973620920649
0.069,17.524479,0.0,67.7092916103071
0.07,17.870405,0.0,67.75884123175571
0.071,17.998013,0.0,67.8083850238144
0.072,17.938963,0.0,67.85792293676296
0.073,17.732424,0.0,67.90745492089897
0.074,17.419086,0.0,67.956980926538
0.075,17.03592,0.0,68.00650090401369
0.076,16.612589,0.0,68.056014803678
0.077,16.16982,0.0,68.10552257590122
0.078,15.719956,0.0,68.15502417107228
0.079,15.269018,0.0,68.20451953959879
0.08,14.81976,0.0,68.25400863190721
0.081,14.374793,0.0,68.303491398443
0.082,13.939132,0.0,68.3529677896708
0.083,13.521558,0.0,68.40243775607459
0.084,13.134568,0.0,68.4519012481577
0.085,12.793016,0.0,68.50135821644315
0.086,12.511735,0.0,68.55080861147373
0.087,12.302566,0.0,68.60025238381206
0.088,12.171548,0.0,68.64968948404086
0.089,12.116549,0.0,68.69911986276306
0.09,12.126059,0.0,68.74854347060186
0.091,12.179226,0.0,68.79796025820107
0.092,12.247365,0.0,68.84737017622508
0.093,12.296599,0.0,68.89677317535903
0.094,12.291527,0.0,68.9461692063091
0.095,12.19909,0.0,68.9955582198025
0.096,11.992221,0.0,69.04494016658768
0.097,11.652554,0.0,69.09431499743448
0.098,11.171669,0.0,69.14368266313429
0.099,10.550816,0.0,69.19304311450013
0.1,9.798806,0.0,69.24239630236687
0.101,8.929006,0.0,69.29174217759142
0.102,7.955704,0.0,69.34108069105271
0.103,6.890984,0.0,69.39041179365198
0.104,5.7427325,0.0,69.43973543631292
0.105,4.5146074,0.0,69.48905156998171
0.106,3.207705,0.0,69.53836014562731
0.107,1.8240911,0.0,69.58766111424148
0.108,0.37085974,0.0,69.63695442683901
0.109,-1.13589,0.0,69.68624003445782
0.11,-2.6687016,0.0,69.73551788815918
0.111,-4.1886196,0.0,69.78478793902774
0.112,-5.647764,0.0,69.83405013817173
0.113,-6.9943743,0.0,69.88330443672317
0.114,-8.179508,0.0,69.9325507858379
0.115,-9.163913,0.0,69.98178913669582
0.116,-9.924012,0.0,70.03101944050101
0.117,-10.4554405,0.0,70.08024164848185
0.118,-10.77369,0.0,70.12945571189115
0.119,-10.911591,0.0,70.17866158200634
0.12,-10.914429,0.0,70.22785921012965
0.121,-10.833693,0.0,70.27704854758815
0.122,-10.720742,0.0,70.32622954573397
0.123,-10.621419,0.0,70.37540215594444
0.124,-10.572711,0.0,70.42456632962218
0.125,-10.60105,0.0,70.47372201819532
0.126,-10.722493,0.0,70.52286917311764
0.127,-10.943578,0.0,70.57200774586856
0.128,-11.262712,0.0,70.62113768795356
0.129,-11.670897,0.0,70.67025895090407
0.13,-12.152335,0.0,70.71937148627775
0.131,-12.684827,0.0,70.76847524565858
0.132,-13.24059,0.0,70.81757018065704
0.133,-13.78808,0.0,70.86665624291025
0.134,-14.29521,0.0,70.91573338408207
0.135,-14.733456,0.0,70.96480155586329
0.136,-15.082323,0.0,71.01386070997172
